,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
1106,Екатерина Трипольская,realtor,https://www.cian.ru/sale/flat/309320318/,Москва,sale,flat,12,14,5,183.5,60000000.0,Нагатино-Садовники,Нагатинская ,15К3,Коломенская,
1107,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/300943913/,Москва,sale,flat,20,36,4,123.0,59900000.0,Раменки, Василия Ланового,3,Аминьевская,Событие
1108,Trust Realty,real_estate_agent,https://www.cian.ru/sale/flat/308262153/,Москва,sale,flat,5,17,3,117.0,64350000.0,Мещанский,Слесарный переулок,3,Проспект Мира,
1109,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300191551/,Москва,sale,flat,5,23,3,98.3,65000000.0,Щукино, Расплетина,22к2,Октябрьское поле,Северная Звезда
1110,Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/307672268/,Москва,sale,flat,4,23,3,122.7,65000000.0,Фили-Давыдково,Давыдковская ,16,Славянский бульвар,
1111,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307290967/,Москва,sale,flat,5,6,4,95.0,66500000.0,Арбат, Арбат,47/23,Смоленская,
1112,MOD Estate,real_estate_agent,https://www.cian.ru/sale/flat/307449781/,Москва,sale,flat,14,22,3,112.0,68000000.0,Хорошево-Мневники,Живописная ,21А,Серебряный Бор,Дом Серебряный Бор
1113,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303370372/,Москва,sale,flat,4,8,1,57.0,68900000.0,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
1114,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307701489/,Москва,sale,flat,4,6,4,124.0,69000000.0,Пресненский,Садовая-Кудринская ,32С2,Маяковская,
1115,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/295096926/,Москва,sale,flat,8,8,4,184.5,70000000.0,Даниловский,2-й Павелецкий проезд,5С1,Крестьянская застава,RIVERDALE APARTMENTS
1116,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/307430993/,Москва,sale,flat,14,48,3,130.0,71000000.0,Обручевский,Ленинский проспект,111к1,Новаторская,Well House на Ленинском
1117,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/304787065/,Москва,sale,flat,79,97,1,73.0,72900000.0,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
1118,Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/293092400/,Москва,sale,flat,9,19,5,180.8,74500000.0,Хорошевский, Викторенко,4К1,Аэропорт,
1119,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299558863/,Москва,sale,flat,2,4,2,136.6,75000000.0,Донской,Варшавское шоссе,9с28,Тульская,Даниловская мануфактура
1120,Villagio Moscow,real_estate_agent,https://www.cian.ru/sale/flat/309319080/,Москва,sale,flat,15,18,4,169.0,81900000.0,Раменки,Минская ,1ГК1,Ломоносовский проспект,Золотые Ключи 2
1121,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300425289/,Москва,sale,flat,17,32,3,84.0,83000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
1122,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/283107913/,Москва,sale,flat,3,8,4,153.3,85000000.0,Клубный дом в е Чистых прудов4-комн. квартира,3/8 этаж,3/8 этаж,,
1123,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305459738/,Москва,sale,flat,6,6,4,130.0,85000000.0,Мещанский,переулок Колокольников,6С1,Трубная,
1124,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/294650800/,Москва,sale,flat,9,57,3,158.0,215233700.0,Хорошевский,Чапаевский переулок,3,Аэропорт,Триумф-Палас
1125,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/307941665/,Москва,sale,flat,41,41,5,165.0,215000000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
1126,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/288461588/,Москва,sale,flat,2,5,4,161.0,224586253.0,Пресненский,Спиридоньевский переулок,12/9,Пушкинская,
1127,ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/308341037/,Москва,sale,flat,6,6,4,156.0,235000000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT
